,BBL,Longitude,Latitude,age,BldgArea,UnitsTotal,EER_km,WER_km,NER_km,EUI_2016_x,Group_mean_EUI_2016,Group_mean_water_intensity,Group_mean_naturalgas_intensity,Pred_EUI_lr,EER_lr,Pred_WUI_lr,WER_lr,Pred_NUI_lr,NER_lr,EUI_2016_y,avgEER,avgWER,avgNER
0,1011860091,-73.9823384499,40.784527796,107,58266,25,0.806386136286,0.391933552848,0.0235313724987,68.3,84.6988767869,67.4859292035,49.170764382,117.992098962,0.578852318087,51.4650652231,0.513940862317,37.4343797277,0.0309089019542,68.3,0.692619227187,0.452937207583,0.0272201372265
1,1000167501,-74.0178906458,40.7098513843,32,179174,239,0.899657739166,0.770679171404,0.96162608535,76.2,84.6988767869,67.4859292035,49.170764382,137.652968949,0.553565975232,54.8242314681,0.948668109105,49.0596997535,0.963803078777,76.2,0.726611857199,0.859673640255,0.962714582063
2,1000167502,-74.0175696914,40.7101066967,31,123284,133,0.876044675146,0.660878504992,0.314495348215,74.2,84.6988767869,67.4859292035,49.170764382,131.014743195,0.566348474915,46.0490395856,0.968532686054,46.8189615437,0.330293029927,74.2,0.72119657503,0.814705595523,0.322394189071
3,1000167504,-74.0168590641,40.7099146695,31,72913,110,0.84652834512,0.581158183089,0.973950164093,71.7,84.6988767869,67.4859292035,49.170764382,138.567204323,0.517438454146,51.5526836035,0.760775138336,47.8324320422,1.0012009006,71.7,0.681983399633,0.670966660712,0.987575532345
4,1000167505,-74.0180599644,40.7090773347,30,203837,247,1.20072430542,0.835729768644,1.32763640229,101.7,84.6988767869,67.4859292035,49.170764382,133.53836403,0.76157889711,51.4817712726,1.09553340155,48.6127797068,1.34287520927,101.7,0.981151601266,0.965631585097,1.33525580578
5,1000167506,-74.0168587482,40.7086658024,32,81667,122,0.911464271176,0.611386706636,1.0978734536,77.2,84.6988767869,67.4859292035,49.170764382,138.309458799,0.558168621801,52.1401224848,0.791329172885,48.1242186685,1.12174864137,77.2,0.734816446489,0.70135793976,1.10981104748
6,1000167507,-74.0175477344,40.7089099833,31,106271,154,0.730824331422,0.641467051145,1.09448813367,61.9,84.6988767869,67.4859292035,49.170764382,138.895333264,0.445659321631,53.1100837128,0.815099449553,48.449575859,1.11077996423,61.9,0.588241826526,0.728283250349,1.10263404895
7,1000167508,-74.0164006213,40.7084709904,30,428589,547,0.975719822932,0.950351623618,1.11006896571,86.9,89.0624521073,50.5918007663,48.4111372627,136.400430565,0.63709476312,64.2582839461,0.748230376651,52.8567916974,1.0167038018,86.9,0.806407293026,0.849291000135,1.06338638375
8,1000167509,-74.0181174673,40.7083115367,29,194762,184,1.180653201,1.02599165214,1.01467705875,100.0,84.6988767869,67.4859292035,49.170764382,123.733135891,0.808190944808,41.6173896621,1.66372760431,46.489931043,1.07318822507,100.0,0.994422072906,1.34485962823,1.04393264191
9,1000167510,-74.0165951833,40.7076228305,29,251929,294,0.879158367498,0.805664146811,0.900208508423,78.3,89.0624521073,50.5918007663,48.4111372627,130.593805038,0.599569022263,51.3117509482,0.794359951606,49.1307919717,0.887022494801,78.3,0.73936369488,0.800012049208,0.893615501612
10,1000167511,-74.0172444963,40.7079219143,27,157584,165,1.4061579624,1.15253654974,1.28009090752,119.1,84.6988767869,67.4859292035,49.170764382,129.214668709,0.921721977776,45.302097341,1.71691830103,47.2808867862,1.33125778046,119.1,1.16393997009,1.43472742539,1.30567434399
11,1000167514,-74.0170961799,40.7062284172,11,344863,234,0.901614519924,0.803094560474,1.08474872053,80.3,89.0624521073,50.5918007663,48.4111372627,100.248102618,0.801012666606,21.7620309751,1.86701324185,43.8951152681,1.19634995566,80.3,0.851313593265,1.33505390116,1.1405493381
12,4092310091,-73.8313195792,40.7054418595,80,107700,90,0.74026955703,0.248644424075,0.871821867549,62.7,84.6988767869,67.4859292035,49.170764382,79.530762831,0.788374180859,91.8695514588,0.182650287648,65.2593010489,0.656889469291,62.7,0.764321868945,0.215647355861,0.76435566842
13,1005690001,-73.9945767365,40.7340037758,112,64218,42,0.945703214005,0.45787322431,1.19502060528,80.1,84.6988767869,67.4859292035,49.170764382,111.384991582,0.719127405431,50.513842003,0.611713518013,42.5765846672,1.38010310299,80.1,0.832415309718,0.534793371162,1.28756185414
14,1000280001,-74.009622736,40.7050023749,91,239121,211,1.2880926423,0.870848200411,0.287462503446,109.1,84.6988767869,67.4859292035,49.170764382,103.224122382,1.0569234931,43.4044596169,1.35400833276,45.5280010584,0.310462807438,109.1,1.1725080677,1.11242826658,0.298962655442
