BBL,EUI_2013,floorArea_2013,EUI_2014,floorArea_2014,EUI_2015,floorArea_2015,EUI_2016,floorArea_2016,Occupancy,TYPE_2016,water_intensity,naturalgas_use,Metered Areas (Energy),Metered Areas  (Water),naturalgas_intensity,Borough,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,NumFloors,UnitsRes,UnitsTotal,YearBuilt,XCoord,YCoord,ZipCode,Address,Longitude,Latitude
1011860091,60.9,63121.0,70.9,58266.0,68.6,58266.0,68.3,58266.0,100.0,Multifamily Housing,26.45,67417.0,Whole Building,Whole Building,1.15705557272,MN,6641,58266,0,58266,0,0,12.0,25,25,1910,989141.0,225102.0,10024.0,316 WEST 79 STREET,-73.9823384499,40.784527796
1000167501,64.9,199141.0,74.2,220821.0,77.0,220821.0,76.2,220821.0,100.0,Multifamily Housing,52.01,10441275.8,Whole Building,Whole Building,47.2838896663,MN,16951,179174,1092,177488,0,1092,25.0,238,239,1985,979290.0,197895.0,10280.0,377 RECTOR PLACE,-74.0178906458,40.7098513843
1000167502,71.5,150667.0,74.8,150855.0,41.1,150855.0,74.2,150855.0,100.0,Multifamily Housing,44.6,2332818.2,Whole Building,Whole Building,15.4639766663,MN,27838,123284,11136,112148,0,0,15.0,133,133,1986,979379.0,197988.0,10280.0,350 ALBANY STREET,-74.0175696914,40.7101066967
1000167504,74.6,112312.0,77.7,91774.0,73.3,91774.0,71.7,91774.0,100.0,Multifamily Housing,39.22,4395045.3,Whole Building,Not Available,47.8898740384,MN,16108,72913,4295,68618,0,4295,9.0,107,110,1986,979576.0,197918.0,10280.0,300 ALBANY STREET,-74.0168590641,40.7099146695
1000167505,116.7,235366.0,106.2,257092.0,106.7,257092.0,101.7,257092.0,100.0,Multifamily Housing,56.4,16783196.3,Whole Building,Not Available,65.2808967218,MN,23910,203837,1177,202660,1177,0,26.0,246,247,1987,979243.0,197613.0,10280.0,380 RECTOR PLACE,-74.0180599644,40.7090773347
1000167506,77.3,111398.0,80.2,106631.0,80.3,106631.0,77.2,106631.0,100.0,Multifamily Housing,41.26,5756290.8,Whole Building,Whole Building,53.9832769082,MN,15000,81667,502,81165,0,502,9.0,121,122,1985,979576.0,197463.0,10280.0,280 RECTOR PLACE,-74.0168587482,40.7086658024
1000167507,56.6,163863.0,62.0,129176.0,62.1,129176.0,61.9,129176.0,100.0,Multifamily Housing,43.29,6951841.3,Whole Building,Whole Building,53.8168181396,MN,25978,106271,3168,103103,0,3168,9.0,153,154,1986,979385.0,197552.0,10280.0,300 RECTOR PLACE,-74.0175477344,40.7089099833
1000167508,91.6,517639.0,93.1,590974.0,93.3,590974.0,86.9,590974.0,100.0,Multifamily Housing,48.08,31758766.1,Whole Building,Whole Building,53.7397010698,MN,37248,428589,4750,423839,1640,3110,44.0,545,547,1987,979703.0,197392.0,10280.0,200 RECTOR PLACE,-74.0164006213,40.7084709904
1000167509,160.0,225262.0,108.1,237270.0,89.0,237270.0,100.0,237270.0,100.0,Multifamily Housing,69.24,11837980.8,Whole Building,Not Available,49.8924465798,MN,45203,194762,32279,162483,0,28464,9.0,182,184,1988,979227.0,197334.0,10280.0,21 SOUTH END AVENUE,-74.0181174673,40.7083115367
1000167510,66.9,296200.0,74.7,348953.0,80.3,348953.0,78.3,348953.0,100.0,Multifamily Housing,40.76,15207412.8,Whole Building,Whole Building,43.5801176663,MN,24167,251929,7464,244465,6885,0,28.0,293,294,1988,979649.0,197083.0,10280.0,99 BATTERY PLACE,-74.0165951833,40.7076228305
1000167511,101.8,149637.0,109.5,189273.0,113.6,189273.0,119.1,189273.0,100.0,Multifamily Housing,77.78,11913419.6,Whole Building,Whole Building,62.943048401,MN,29850,157584,33013,124571,0,3785,9.0,163,165,1990,979469.0,197192.0,10280.0,2 SOUTH END AVENUE,-74.0172444963,40.7079219143
1000167514,109.6,456414.0,84.2,434680.0,82.2,434680.0,80.3,434680.0,100.0,Multifamily Housing,40.63,22826750.4,Whole Building,Whole Building,52.5139192049,MN,20763,344863,2856,342007,0,2856,35.0,233,234,2006,979510.0,196575.0,10004.0,30 LITTLE WEST STREET,-74.0170961799,40.7062284172
4092310091,71.3,103638.0,72.9,107700.0,80.4,107700.0,62.7,107700.0,100.0,Multifamily Housing,16.78,4616899.5,Whole Building,Whole Building,42.8681476323,QN,28800,107700,0,107700,0,0,6.0,90,90,1937,1031018.0,196333.0,11415.0,83-15 LEFFERTS BOULEVARD,-73.8313195792,40.7054418595
1005690001,96.1,64220.0,114.1,64218.0,90.9,64218.0,80.1,64218.0,100.0,Multifamily Housing,30.9,3773454.6,Whole Building,Whole Building,58.760076614,MN,7579,64218,0,64218,0,0,11.0,42,42,1905,985753.0,206694.0,10003.0,43 5 AVENUE,-73.9945767365,40.7340037758
1000280001,95.6,239121.0,118.5,239121.0,99.6,239121.0,109.1,239121.0,100.0,Multifamily Housing,58.77,3379915.8,Whole Building,Not Available,14.1347510256,MN,11934,239121,11000,228121,0,11000,23.0,202,211,1926,981582.0,196128.0,10004.0,3 HANOVER SQUARE,-74.009622736,40.7050023749
1000297501,57.5,66346.0,103.0,65396.0,79.2,65396.0,91.9,65396.0,100.0,Multifamily Housing,0.0,2732596.9,Whole Building,Whole Building,41.785382898,MN,9150,61238,16522,44716,0,16522,8.0,39,42,1920,981364.0,196111.0,10004.0,48 BEAVER STREET,-74.0104089943,40.7049556454
1022410014,119.6,52928.0,100.4,50583.0,63.0,50583.0,82.5,50583.0,100.0,Multifamily Housing,26.56,3927700.1,Whole Building,Whole Building,77.6486191013,MN,10000,50583,4000,46583,0,4000,6.0,44,52,1936,1005851.0,255598.0,10034.0,77 COOPER STREET,-73.9218999676,40.8682055454
1000397501,71.1,97677.0,88.2,117641.0,74.5,117641.0,120.5,117641.0,100.0,Multifamily Housing,69.29,1083935.1,Whole Building,Not Available,9.21392286703,MN,10576,90163,8173,81990,0,8173,12.0,121,122,1956,982241.0,196409.0,10005.0,164 PEARL STREET,-74.0072459897,40.7057738278
1000420022,103.8,337000.0,113.5,387000.0,122.8,387000.0,108.7,387000.0,100.0,Multifamily Housing,43.64,19815964.2,Whole Building,Not Available,51.2040418605,MN,18833,387000,2198,384802,0,2198,45.0,287,289,2002,981978.0,196988.0,10005.0,10 LIBERTY STREET,-74.008194764,40.7073629825
3087207512,72.8,157178.0,90.0,157178.0,87.5,157178.0,82.0,177808.0,100.0,Multifamily Housing,24.29,11214651.7,Whole Building,Whole Building,63.0716936246,BK,83188,157188,5670,151518,0,153,8.0,112,112,2002,996055.0,149253.0,11235.0,105 OCEANA DRIVE EAST,-73.9575046595,40.5763331124
1004737502,91.5,55693.0,96.5,78982.0,98.6,78982.0,95.4,78982.0,100.0,Multifamily Housing,38.89,3206073.5,Whole Building,Whole Building,40.5924577752,MN,11700,55693,0,55693,0,0,7.0,13,13,1890,984324.0,201946.0,10013.0,30 CROSBY STREET,-73.9997330386,40.7209718002
1019457504,82.8,198000.0,94.1,180000.0,124.3,180000.0,101.0,180000.0,100.0,Multifamily Housing,35.68,9537700.8,Whole Building,Whole Building,52.9872266667,MN,20183,153526,44554,108972,11663,0,12.0,91,93,2006,996846.0,232988.0,10026.0,2187 8 AVENUE,-73.9545006724,40.806165103
1019457504,82.8,198000.0,18.7,180000.0,124.3,180000.0,101.0,180000.0,100.0,Multifamily Housing,35.68,9537700.8,Whole Building,Whole Building,52.9872266667,MN,20183,153526,44554,108972,11663,0,12.0,91,93,2006,996846.0,232988.0,10026.0,2187 8 AVENUE,-73.9545006724,40.806165103
