BBL,EUI_2013,floorArea_2013,EUI_2014,floorArea_2014,EUI_2015,floorArea_2015,EUI_2016,floorArea_2016,TYPE_2016,Borough,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,NumFloors,UnitsRes,UnitsTotal,YearBuilt,XCoord,YCoord,ZipCode,Address,Longitude,Latitude
1000047501,102.0,2428325.0,92.5,2621563.0,149.0,2542563.0,133.8,2542563.0,Office,MN,111382,1888126,1888126,0,1848626,39500,50.0,0,52,1969,980917.0,195090.0,10004.0,1 WATER STREET,-74.0120206928,40.7021530833
1000057501,119.6,1338000.0,134.5,1354691.0,113.8,1354691.0,135.8,1354691.0,Office,MN,54023,1024229,1024229,0,1024229,0,40.0,0,7,1970,981309.0,195131.0,10004.0,125 BROAD STREET,-74.0106069359,40.7022657576
1000090001,99.5,852840.0,78.5,845018.0,81.3,845018.0,71.4,845018.0,Office,MN,29481,845018,845018,0,839651,5367,32.0,0,9,1970,980562.0,195311.0,10004.0,34 WHITEHALL STREET,-74.0133011456,40.7027595356
1000090014,79.7,574095.0,68.6,544015.0,80.8,544015.0,77.2,544015.0,Office,MN,23080,544015,544015,0,542515,0,42.0,0,0,1987,980402.0,195359.0,10004.0,17 STATE STREET,-74.0138782293,40.7028912162
1000090029,139.4,859807.0,148.4,896956.0,136.2,896956.0,118.6,896956.0,Office,MN,39985,896956,896956,0,864078,2878,35.0,0,9,1971,980443.0,195525.0,10004.0,24 WHITEHALL STREET,-74.0137304522,40.7033468649
1000100023,102.8,329991.0,108.0,321994.0,106.8,321994.0,102.2,321994.0,Office,MN,18729,321994,321994,0,307948,14046,21.0,0,20,1962,980713.0,195693.0,10004.0,1 WHITEHALL STREET,-74.0127567495,40.7038080975
1012900021,71.8,473356.0,75.8,444293.0,83.0,444293.0,79.9,444293.0,Financial Office,MN,16972,444293,444293,0,436175,8118,36.0,0,37,1981,991653.0,216323.0,10022.0,535 MADISON AVENUE,-73.9732772127,40.7604299899
1000130001,65.7,208039.0,59.0,180646.0,65.4,180646.0,59.0,180646.0,Office,MN,17025,180646,180646,0,176146,4500,14.0,0,28,1900,980242.0,196109.0,10004.0,1 BROADWAY,-74.014455733,40.7049497188
1000130005,80.1,423348.0,92.5,434220.0,99.8,434220.0,101.7,434220.0,Office,MN,28814,434220,434220,0,411720,22500,22.0,0,50,1900,980293.0,196230.0,10004.0,11 BROADWAY,-74.0142718614,40.7052818583
1011200022,62.4,64899.0,54.2,64899.0,65.4,64899.0,22.4,64899.0,Multifamily Housing,MN,7532,64899,0,64899,0,0,14.0,31,31,1905,990009.0,221143.0,10023.0,15 WEST 67 STREET,-73.979207469,40.773660864
1000157501,28.7,1346985.0,42.8,1402830.0,66.6,1402830.0,47.6,1402831.0,Office,MN,64633,1202417,756035,446382,756035,0,31.0,500,602,1902,979859.0,196346.0,10004.0,17 BATTERY PLACE,-74.0158372612,40.7056000462
1000157501,50.0,1427048.0,42.8,1402830.0,66.6,1402830.0,47.6,1402831.0,Office,MN,64633,1202417,756035,446382,756035,0,31.0,500,602,1902,979859.0,196346.0,10004.0,17 BATTERY PLACE,-74.0158372612,40.7056000462
